Tick,RunF64,RunF32,RunI64,RunI32
M:43 N:31,0.00042186,0.00036842,0.00038084,0.00036508
M:43 N:32,0.0004187,0.00038307,0.00038069,0.00038009
M:43 N:33,0.00043008,0.00040927,0.00039529,0.00039595
M:43 N:34,0.00041435,0.0004119,0.00041104,0.0003938
M:43 N:35,0.00042003,0.00042071,0.00040617,0.00040007
M:43 N:36,0.00042966,0.0004304,0.00043495,0.00041249
M:43 N:37,0.00044471,0.00045747,0.00044414,0.00044473
M:43 N:38,0.00056669,0.00047756,0.00047621,0.00048808
M:43 N:39,0.0004727,0.00048358,0.00047913,0.00046324
M:43 N:40,0.00050554,0.00051609,0.00049061,0.00049181
M:43 N:41,0.00054201,0.00049425,0.00050654,0.00047638
M:43 N:42,0.00054249,0.00053893,0.00053094,0.00053047
M:43 N:43,0.00058233,0.00052924,0.00054216,0.00049154
M:44 N:1,2.159e-05,2.194e-05,2.278e-05,2.012e-05
M:44 N:2,3.473e-05,3.438e-05,3.434e-05,3.135e-05
M:44 N:3,4.656e-05,4.821e-05,4.606e-05,4.329e-05
M:44 N:4,5.693e-05,5.819e-05,5.535e-05,5.518e-05
M:44 N:5,6.964e-05,6.996e-05,6.95e-05,6.857e-05
M:44 N:6,8.622e-05,8.244e-05,8.63e-05,7.884e-05
M:44 N:7,9.573e-05,0.0001119,9.896e-05,9.144e-05
M:44 N:8,0.0001085,0.0001067,0.00010393,0.00010303
M:44 N:9,0.00013465,0.00011955,0.00011778,0.00011511
M:44 N:10,0.00013035,0.00013084,0.00013102,0.00012727
M:44 N:11,0.00014368,0.0001427,0.00013844,0.00013793
M:44 N:12,0.00015605,0.0001588,0.00016514,0.00015135
M:44 N:13,0.00016953,0.00016741,0.00016387,0.00015961
M:44 N:14,0.00018088,0.00017733,0.00017635,0.00017283
M:44 N:15,0.00019768,0.00019311,0.00019868,0.00019631
M:44 N:16,0.00020634,0.00020315,0.00020103,0.00020296
M:44 N:17,0.00022555,0.0002125,0.0002144,0.00023325
M:44 N:18,0.00023287,0.00022758,0.00022356,0.00021866
M:44 N:19,0.00025655,0.00025284,0.00024982,0.00024625
M:44 N:20,0.00025897,0.00026805,0.00027957,0.00025798
M:44 N:21,0.00026714,0.00026243,0.00025934,0.00025451
M:44 N:22,0.00028586,0.00027682,0.00027177,0.00027201
M:44 N:23,0.00029793,0.00029586,0.00028247,0.00029529
M:44 N:24,0.00032903,0.00030612,0.00030732,0.00029337
M:44 N:25,0.0003197,0.00031934,0.00030824,0.00030564
M:44 N:26,0.00033114,0.00033151,0.00031889,0.00031701
M:44 N:27,0.00033947,0.00033982,0.000333,0.00033649
M:44 N:28,0.00035203,0.00035028,0.00034479,0.00034006
M:44 N:29,0.00036894,0.00036169,0.00035521,0.00034911
M:44 N:30,0.00038846,0.00037851,0.00037514,0.00036124
M:44 N:31,0.00039113,0.00038073,0.00038333,0.00037658
